decision_gw,squad_no,start_ft,wait,total_transfers,spend_predicted,spend_realised,hold_predicted,hold_realised,hold_edge
16,4,2,2,4,16.62736792099838,-16.0,30.185297567323005,-18.0,-2.0
16,5,1,1,2,11.01853341610098,26.0,25.892887525186325,19.0,-7.0
16,5,1,2,3,11.01853341610098,12.0,25.387258320999905,7.0,-5.0
16,5,2,1,3,22.336151330531038,22.0,27.706744679181753,3.0,-19.0
16,5,2,2,4,22.336151330531038,25.0,38.14337144639745,0.0,-25.0
16,6,1,1,2,15.953203918142805,-17.0,33.09592448109311,9.0,26.0
16,6,1,2,3,15.953203918142805,-32.0,46.206398450113255,30.0,62.0
16,6,2,1,3,33.069774448317986,15.0,52.94113450463175,25.0,10.0
16,6,2,2,4,33.069774448317986,0.0,53.041893530121456,43.0,43.0
16,7,1,1,2,18.01383625096932,12.0,34.706194052777875,2.0,-10.0
16,7,1,2,3,18.01383625096932,16.0,37.26595491225048,36.0,20.0
16,7,2,1,3,35.13040678114447,15.0,43.73661537432281,-12.0,-27.0
16,7,2,2,4,35.13040678114447,19.0,42.59976521757697,18.0,-1.0
16,8,1,1,2,12.478904109440435,-3.0,26.461650204876463,1.0,4.0
16,8,1,2,3,12.478904109440435,14.0,34.35377109848824,16.0,2.0
16,8,2,1,3,26.801368072969495,0.0,35.04033541214838,8.0,8.0
16,8,2,2,4,26.801368072969495,-25.0,37.925098732491534,8.0,33.0
16,9,1,1,2,12.478904109440464,-3.0,24.35575245020013,25.0,28.0
16,9,1,2,3,12.478904109440464,-21.0,30.461664602181315,3.0,24.0
16,9,2,1,3,23.67564453821268,1.0,30.61757846337875,-21.0,-22.0
16,9,2,2,4,23.67564453821268,5.0,45.465433626456985,15.0,10.0
18,0,1,1,2,16.724156025103298,9.0,16.01061423492726,-5.0,-14.0
18,0,1,2,3,16.724156025103298,13.0,25.19337673841281,22.0,9.0
18,0,2,1,3,14.417784871635831,-17.0,27.663083982046174,13.0,30.0
18,0,2,2,4,14.417784871635831,-13.0,32.565828641837754,26.0,39.0
18,1,1,1,2,10.534307689032914,8.0,18.384924105351075,15.0,7.0
18,1,1,2,3,10.534307689032914,15.0,19.77788273520008,8.0,-7.0
